fips,pop
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
01001,55514
01003,190790
01005,27201
01007,22597
01009,57826
01011,10474
01013,20307
01015,117296
01017,34064
01019,26021
01021,43819
01023,13633
01025,25161
01027,13435
01029,14832
01031,51252
01033,54446
01035,12981
01037,10966
01039,37955
01041,14083
01043,80440
01045,50444
01047,42864
01049,71080
01051,80629
01053,37994
01055,104392
01057,16983
01059,31761
01061,26931
01063,8876
01065,15388
01067,17287
01069,103402
01071,53019
01073,660009
01075,14259
01077,92542
01079,33838
01081,147257
01083,87654
01085,10857
01087,20535
01089,343080
01091,20401
01093,30327
01095,94776
01097,413936
01099,22602
01101,230149
01103,120395
01105,10181
01107,19405
01109,33182
01111,22675
01113,57820
01115,85237
01117,200941
01119,13427
01121,81762
01123,41168
01125,198596
01127,66221
01129,17109
01131,11431
01133,24108
02013,3161
02016,5547
02020,298610
02050,17746
02068,1875
02070,5034
02090,100272
02100,2552
02110,32556
02122,56900
02130,13779
02150,14239
02158,0
02170,93925
02180,9915
02185,9643
02188,7810
02195,3844
02198,5751
02220,9046
02230,959
02240,7144
02261,9717
02275,2403
02290,5770
02997,0
02998,3036
04001,73195
04003,132088
04005,136011
04007,53144
04009,37416
04011,8802
04012,20281
04013,3942169
04015,203334
04017,107094
04019,992394
04021,387365
04023,47303
04025,212637
04027,200022
05001,18892
05003,21524
05005,41048
05007,232268
05009,37327
05011,11397
05013,5307
05015,27610
05017,11433
05019,22936
05021,15684
05023,25808
05025,8627
05027,24473
05029,21287
05031,99735
05033,61946
05035,50021
05037,17683
05039,7987
05041,12545
05043,18743
05045,118704
05047,18045
05049,12318
05051,96903
05053,17986
05055,43163
05057,22373
05059,33394
05061,13735
05063,37025
05065,13474
05067,17600
05069,74723
05071,25901
05073,7447
05075,17012
05077,10216
05079,14101
05081,12919
05083,21983
05085,69839
05087,15645
05089,16568
05091,43634
05093,45562
05095,7828
05097,9340
05099,8925
05101,8086
05103,25396
05105,10339
05107,20784
05109,11247
05111,24307
05113,20471
05115,62765
05117,8458
05119,388953
05121,17930
05123,27858
05125,111845
05127,11010
05129,8007
05131,127304
05133,17177
05135,17054
05137,12663
05139,40867
05141,17030
05143,211411
05145,78493
05147,7100
05149,21932
06001,1554720
06003,1129
06005,37035
06007,221539
06009,44742
06011,21411
06013,1079597
06015,28290
06017,180561
06019,947895
06021,27992
06023,134827
06025,176948
06027,18495
06029,856158
